symbol,company_name,series,primary_index,all_indices
FIVESTAR,Five-Star Business Finance Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
FORCEMOT,Force Motors Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
FORTIS,Fortis Healthcare Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
FSL,Firstsource Solutions Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GABRIEL,Gabriel India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GAIL,GAIL (India) Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
GALLANTT,Gallantt Ispat Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GESHIP,Great Eastern Shipping Co. Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GICRE,General Insurance Corporation of India,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
GILLETTE,Gillette India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GLAND,Gland Pharma Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
GLENMARK,Glenmark Pharmaceuticals Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GMRAIRPORT,GMR Airports Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
GODFRYPHLP,Godfrey Phillips India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
GODIGIT,Go Digit General Insurance Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GODREJCP,Godrej Consumer Products Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
GODREJIND,Godrej Industries Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
GODREJPROP,Godrej Properties Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
GPIL,Godawari Power & Ispat Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GRANULES,Granules India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GRAPHITE,Graphite India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GRASIM,Grasim Industries Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
GRAVITA,Gravita India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GROWW,Billionbrains Garage Ventures Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
GVT&D,GE Vernova T&D India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
HAL,Hindustan Aeronautics Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
HAVELLS,Havells India Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
HBLENGINE,HBL Engineering Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
HCLTECH,HCL Technologies Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
HDBFS,HDB Financial Services Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
HDFCAMC,HDFC Asset Management Company Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
HDFCBANK,HDFC Bank Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
HDFCLIFE,HDFC Life Insurance Company Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
HEG,H.E.G. Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
HEROMOTOCO,Hero MotoCorp Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
HEXT,Hexaware Technologies Ltd.,EQ,NIFTYMIDCAP150,NIFTYMIDCAP150
HFCL,HFCL Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
HINDALCO,Hindalco Industries Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
HINDCOPPER,Hindustan Copper Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
HINDPETRO,Hindustan Petroleum Corporation Ltd.,EQ,NIFTY200,NIFTY200|NIFTYMIDCAP150
HINDUNILVR,Hindustan Unilever Ltd.,EQ,NIFTY50,NIFTY50|NIFTY100|NIFTY200
HINDZINC,Hindustan Zinc Ltd.,EQ,NIFTY100,NIFTY100|NIFTY200
HOMEFIRST,Home First Finance Company India Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
HONASA,Honasa Consumer Ltd.,EQ,NIFTYSMALLCAP250,NIFTYSMALLCAP250
